"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","RIM / CORE (INCLUSION)","HOSTMINERAL (INCLUSION)","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","V2O5(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","SI(WT%)","AL(WT%)","TI(WT%)","FE(WT%)","MG(WT%)","MN(WT%)","K(WT%)","CR(WT%)","LI(PPM)","BE(PPM)","P(PPM)","S(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM): altern. values or methods","","","","CR(PPM): altern. values or methods","","","","CO(PPM): altern. values or methods","","","","NI(PPM): altern. values or methods","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","SE(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB206(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. KN-14","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.53","68.85","-70.53","68.85","35.24","2.38","10.55","0.05","","","","4.03","","6.18","15.05","13.61","0.2","","","","1.96","1.84","1","","","2.04","","","","","6.83","","","","","","","","","","","","","","25.5","","232","ICPMS","","","287","ICPMS","","","","","","","209","ICPMS","","","","","","","","63.6","ICPMS","62.08","SOSMS_ID","1931","ICPMS","1536","SOSMS_ID","28.6","ICPMS","","","239","ICPMS","","","81","ICPMS","","","","","","","","","1522","ICPMS","","","89","ICPMS","","","153","ICPMS","","","16.9","68.7","ICPMS","73.64","SOSMS_ID","12.9","ICPMS","12.87","SOSMS_ID","3.69","10.7","1.3","6.3","0.935","2.51","0.345","1.882","0.261","5.54","16.6","","","9.94","","","22.1","3.54",
"1983"," [6631] FUTA K. (1983)","samp. 60A","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT MURPHY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GABBRO","","","","","","","","","","FRESH","","WHOLE ROCK","","","","","","","","","","-75.33","-110.75","-75.33","-110.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","TIMS_ID","","","940.8","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.67","TIMS_ID","","","2.87","TIMS_ID","","","","","","","","","","","","","","","","","","","","",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90029B","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE, PLAGIOCLASE","CUMULATE","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","44.65","0.67","18.54","","","","14.3","","","","8.19","10.08","0.22","","","","0.2","2.77","0.15","","","","","","","","-0.23","","","","","","","","","","","","","","3","","45","XRF","","","66","XRF","","","","","","","136","XRF","","","15","70","18","","","2","XRF","","","754","XRF","","","0","XRF","","","21","XRF","","","3","XRF","","","","","","","","","143","XRF","","","8","INAA","","","19","INAA","","","","","","","","","","","","","","","","","","","","","","","","","5","","","2","0",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90039U","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","45.16","0.94","7.25","","","","11.12","","","","15.07","20","0.18","","","","0.08","0.84","0","","","","","","","","-0.33","","","","","","","","","","","","","","54","","280","XRF","","","3004","XRF","","","","","","","428","XRF","","","33","63","12","","","1","XRF","","","84","XRF","","","10","XRF","","","28","XRF","","","1","XRF","","","","","","","","","14","XRF","","","3","INAA","","","8","INAA","","","","","","","","","","","","","","","","","","","","","","","","","3","","","1","0",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. PK4C","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT HAMPTON","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-76.5","-126","-76.5","-126","45.85","0.42","3.61","","","","21.65","","","","1.39","26.7","0.29","","","","0.08","1.1","0.06","","","","","","","","-0.9","","","","","","","","","","","","","","19","","177","XRF","","","236","XRF","","","","","","","499","XRF","","","28","153","8","","","1","XRF","","","3","XRF","","","1","XRF","","","3","XRF","","","1","XRF","","","","","","","","","5","XRF","","","7","INAA","","","17","INAA","","","","","","","","","","","","","","","","","","","","","","","","","4","","","1","0",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. PK4E","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT HAMPTON","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-76.5","-126","-76.5","-126","49.96","0.58","5.95","","","","17.19","","","","2.05","24.09","0.23","","","","0.02","0.35","0.02","","","","","","","","-0.55","","","","","","","","","","","","","","26","","221","XRF","","","1636","XRF","","","","","","","555","XRF","","","49","98","9","","","1","XRF","","","6","XRF","","","0","XRF","","","0","XRF","","","0","XRF","","","","","","","","","4","XRF","","","4","INAA","","","8","INAA","","","","","","","","","","","","","","","","","","","","","","","","","3","","","0","0",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90039SB","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE, PLAGIOCLASE","CUMULATE","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","TIMS_ID","","","529","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","TIMS_ID","","","","","","","","","","","","","","","","","","","","",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90033C","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","TIMS_ID","","","420","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","TIMS_ID","","","4","TIMS_ID","","","","","","","","","","","","","","","","","","","","",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90039SA","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","TIMS_ID","","","67","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","TIMS_ID","","","1","TIMS_ID","","","","","","","","","","","","","","","","","","","","",
"1995"," [7649] WYSOCZANSKI R. J. (1995)","samp. 90039Y","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT SIDLEY","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","PYROXENITE","META-IGNEOUS","LOWER CRUSTAL XENOLITH","","","CENOZOIC","UPPER","","","","","","WHOLE ROCK","","","","","","","","","","-77.1","-126.1","-77.1","-126.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","TIMS_ID","","","80","TIMS_ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","TIMS_ID","","","3","TIMS_ID","","","","","","","","","","","","","","","","","","","","",
