"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","RIM / CORE (INCLUSION)","HOSTMINERAL (INCLUSION)","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","V2O5(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","SI(WT%)","AL(WT%)","TI(WT%)","FE(WT%)","MG(WT%)","MN(WT%)","K(WT%)","CR(WT%)","LI(PPM)","BE(PPM)","P(PPM)","S(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM): altern. values or methods","","","","CR(PPM): altern. values or methods","","","","CO(PPM): altern. values or methods","","","","NI(PPM): altern. values or methods","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","SE(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB206(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1990"," [10315] LE MASURIER W. E. (1990)","samp. 41BB","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT WAESCHE","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","COGNATE INCLUSION","","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","AMPHIBOLE","","","","PRIMARY","","","","","-77.17","-126.9","-77.17","-126.9","40.67","8.96","0.95","","","","","","39.81","","0.81","0.96","0.78","","","","0.01","7.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1990"," [10315] LE MASURIER W. E. (1990)","samp. 41BB","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT WAESCHE","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","COGNATE INCLUSION","","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","OXIDES/OPAQUES","","","","PRIMARY","","","","","-77.17","-126.9","-77.17","-126.9","0.06","31.34","0.62","0.01","","","","","67.23","","","0.51","0.82","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1990"," [10315] LE MASURIER W. E. (1990)","samp. 41BB","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT WAESCHE","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","COGNATE INCLUSION","","","","","","","","","","MINERAL / COMPONENT (INCL. GROUNDMASS)","SODALITE","","","","PRIMARY","","","","","-77.17","-126.9","-77.17","-126.9","38.81","0.01","31.14","0.01","","","","","0.52","","0.02","0.01","0.03","","","","0.01","25.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1990"," [10315] LE MASURIER W. E. (1990)","samp. 60A","250606","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT TAKAHE","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GABBRO","","","53100000","","PALEOGENE","","","","","","","WHOLE ROCK","","","","","","","","","","-75.25","-110","-75.25","-111","43.03","6.05","17.57","","","","","6.07","","7.84","10.8","3.82","0.16","","","","0.72","3.37","0.11","0.37","0.08","0.65","0.02","","","","","","","","","","","","","","","","","","","","387","WET","","","21","WET","","","22","WET","","","8","WET","","","27","44","23","","","9","WET","","","934","WET","","","8","WET","","","108","WET","","","5","WET","","","","","","","","","125","WET","","","8","WET","","","6","WET","","","","","","","","","","","","","","","","","","","","","","","","","3","","","5","0",
"1990"," [10315] LE MASURIER W. E. (1990)","samp. 60D","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT TAKAHE","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE","","DIKE","28000000","","PALEOGENE","","","","","","","WHOLE ROCK","","","","","","","","","","-75.25","-110","-75.25","-111","61.52","0.28","18.45","","","","","2.7","","2.77","1.5","0.19","0.12","","","","5.35","6.45","0.04","0.46","0.01","0","0","","","","","","","","","","","","","","","","","","","","12","WET","","","0","WET","","","4","WET","","","0","WET","","","0","72","26","","","114","WET","","","68","WET","","","41","WET","","","430","WET","","","126","WET","","","","","","","","","346","WET","","","76","WET","","","197","WET","","","","","","","","","","","","","","","","","","","","","","","","","10","","","8","2",
"2002"," [13387] ROCCHI S. (2002)","samp. A1C","245543","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GABBRO","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","46.09","3.48","17.23","","","","","2.66","","9.61","9.21","4.77","0.24","","","","0.55","3.04","1.9","","","","","","","","1.23","","","","","","","","","","","","","","16","","109","XRF","81","ICPMS","5","XRF","0.2","ICPMS","34","XRF","24","ICPMS","5","XRF","5","ICPMS","","","","","","21","XRF","8.8","ICPMS","1282","XRF","1358","ICPMS","31","XRF","36","ICPMS","65","XRF","65","ICPMS","32","XRF","40","ICPMS","1.6","","","","","0.11","676","XRF","577","ICPMS","63","XRF","55","ICPMS","117","XRF","119","ICPMS","15.9","68","ICPMS","","","13.5","ICPMS","","","5.4","10.7","1.51","7.8","1.38","3","0.35","1.96","0.28","2.38","2.78","","","1","","","1.97","0.47",
"2002"," [13387] ROCCHI S. (2002)","samp. A1D","245544","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","DIORITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","45.44","4.14","16.02","","","","","6.66","","6.44","9.12","5.04","0.23","","","","0.95","3.03","1.85","","","","","","","","1.07","","","","","","","","","","","","","","19","","219","XRF","168","ICPMS","11","XRF","1.4","ICPMS","38","XRF","26","ICPMS","9","XRF","9","ICPMS","43","","","","","28","XRF","16.9","ICPMS","1152","XRF","1161","ICPMS","40","XRF","48","ICPMS","134","XRF","134","ICPMS","54","XRF","67","ICPMS","2","","","","","0.14","897","XRF","733","ICPMS","75","XRF","66","ICPMS","143","XRF","146","ICPMS","19.9","86","ICPMS","","","17.2","ICPMS","","","6.4","12.9","2.01","10.3","1.84","4.1","0.5","2.88","0.35","4.2","4","","","1.6","","","2.89","0.83",
"2002"," [13387] ROCCHI S. (2002)","samp. A1E","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","MONZODIORITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","54.43","1.91","18.36","","","","","2.74","","4.89","4.97","2.35","0.12","","","","2.27","5.88","0.76","","","","","","","","1.32","","","","","","","","","","","","","","","","38","XRF","","","0","XRF","","","18","XRF","","","0","XRF","","","","","","","","61","XRF","","","1051","XRF","","","26","XRF","","","104","XRF","","","40","XRF","","","","","","","","","2292","XRF","","","56","XRF","","","93","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. A1A","245546","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GRANITE, ALKALI FELDSPAR","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","71.08","0.2","15.27","","","","","1.26","","0.45","0.56","0.21","0.03","","","","5.47","4.6","0.03","","","","","","","","0.85","","","","","","","","","","","","","","","","0","XRF","","","0","XRF","","","0","XRF","","","0","XRF","","","","","","","","154","XRF","","","181","XRF","","","38","XRF","","","249","XRF","","","96","XRF","","","","","","","","","629","XRF","","","34","XRF","","","58","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SAX7","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GRANITE, ALKALI FELDSPAR","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","72.86","0.22","12.49","","","","","1.59","","2.88","0.36","0.03","0.13","","","","3.74","5.22","0.03","","","","","","","","0.46","","","","","","","","","","","","","","","","0","XRF","","","0","XRF","","","6","XRF","","","0","XRF","","","","","","","","94","XRF","","","15","XRF","","","22","XRF","","","473","XRF","","","88","XRF","","","","","","","","","121","XRF","","","102","XRF","","","226","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SAX17","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","67.35","0.31","16.51","","","","","1.22","","1.88","0.6","0.12","0.09","","","","4.39","6.97","0.05","","","","","","","","0.51","","","","","","","","","","","","","","","","0","XRF","","","0","XRF","","","5","XRF","","","0","XRF","","","","","","","","96","XRF","93","MC_ICPMS_ID","15","XRF","7.64","MC_ICPMS_ID","24","XRF","","","128","XRF","","","58","XRF","","","","","","","","","76","XRF","","","16","XRF","","","48","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SAX21","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / GREENE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GABBRO","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","47.03","3.04","17.92","","","","","2.58","","8.42","9.57","3.67","0.16","","","","0.64","3.96","1.53","","","","","","","","1.48","","","","","","","","","","","","","","15","","105","XRF","80","ICPMS","5","XRF","","","29","XRF","22","ICPMS","0","XRF","4","ICPMS","","","","","","23","XRF","13.4","ICPMS","1454","XRF","1521","ICPMS","23","XRF","24.3","ICPMS","64","XRF","64","ICPMS","22","XRF","24.7","ICPMS","1.8","","","","","0.2","443","XRF","388","ICPMS","42","XRF","41","ICPMS","89","XRF","86","ICPMS","11.2","48","ICPMS","","","9.5","ICPMS","","","4.2","7.3","1.04","5.1","0.92","1.98","0.23","1.32","0.19","2.13","1.93","","","2","","","2.91","0.73",
"2002"," [13387] ROCCHI S. (2002)","samp. SX1A","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MONTEAGLE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","65.86","0.06","18.5","","","","","2.8","","","0.5","0.18","0.12","","","","3.83","7.06","0.01","","","","","","","","1.08","","","","","","","","","","","","","","","","0","XRF","","","0","XRF","","","0","XRF","","","0","XRF","","","","","","","","150","XRF","154","MC_ICPMS_ID","15","XRF","12.4","MC_ICPMS_ID","51","XRF","","","1320","XRF","","","269","XRF","","","","","","","","","45","XRF","","","128","XRF","","","198","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX1B","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MONTEAGLE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE","","FOID-BEARING","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","64.69","0.04","18.39","","","","","2.05","","0.1","0.5","0.16","0.1","","","","4.49","8.53","0.02","","","","","","","","0.94","","","","","","","","","","","","","","","","0","XRF","","","0","XRF","","","0","XRF","","","0","XRF","","","","","","","","120","XRF","","","20","XRF","","","46","XRF","","","497","XRF","","","90","XRF","","","","","","","","","54","XRF","","","181","XRF","","","318","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX10A","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MONTEAGLE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","DIORITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","51.13","2.68","16.99","","","","","2.29","","8.27","7.57","3.99","0.19","","","","0.96","3.57","1.44","","","","","","","","0.92","","","","","","","","","","","","","","","","155","XRF","","","9","XRF","","","30","XRF","","","5","XRF","","","","","","","","28","XRF","","","851","XRF","","","32","XRF","","","111","XRF","","","46","XRF","","","","","","","","","521","XRF","","","44","XRF","","","94","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX10B","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MONTEAGLE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GABBRO","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","44.9","5.07","14.79","","","","","3","","11.21","8.94","7.3","0.21","","","","0.67","1.98","0.67","","","","","","","","1.26","","","","","","","","","","","","","","25","","378","XRF","337","ICPMS","17","XRF","4","ICPMS","55","XRF","46","ICPMS","10","XRF","10","ICPMS","","","","","","31","XRF","21.1","ICPMS","779","XRF","762","ICPMS","22","XRF","23.5","ICPMS","126","XRF","126","ICPMS","36","XRF","44","ICPMS","1.5","","","","","0.52","378","XRF","245","ICPMS","17","XRF","24.8","ICPMS","57","XRF","55","ICPMS","7.1","31","ICPMS","","","6.7","ICPMS","","","2.34","5.4","0.84","4.6","0.87","2","0.23","1.5","0.21","","3.1","","","2.5","","","2.3","0.47",
"2002"," [13387] ROCCHI S. (2002)","samp. AP1","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MONTEAGLE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","MONZONITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","61","0.67","18.81","","","","","1.52","","3.48","3.41","0.24","0.11","","","","4","5.78","0.27","","","","","","","","0.71","","","","","","","","","","","","","","","","8","XRF","","","0","XRF","","","0","XRF","","","0","XRF","","","","","","","","79","XRF","","","654","XRF","","","39","XRF","","","861","XRF","","","94","XRF","","","","","","","","","1266","XRF","","","54","XRF","","","131","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. LZ42","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","DIORITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","53.22","2.08","19.01","","","","","1.88","","6.75","7.23","2.59","0.18","","","","1.2","3.71","1.07","","","","","","","","1.09","","","","","","","","","","","","","","17","","89","XRF","69","ICPMS","7","XRF","1.6","ICPMS","22","XRF","15","ICPMS","8","XRF","7","ICPMS","","","","","","34","XRF","36","ICPMS","1246","XRF","1293","ICPMS","25","XRF","28.7","ICPMS","46","XRF","46","ICPMS","31","XRF","44","ICPMS","2.1","","","","","1.41","2420","XRF","2318","ICPMS","49","XRF","49","ICPMS","89","XRF","101","ICPMS","12.9","53","ICPMS","","","10.3","ICPMS","","","7.2","9.2","1.12","5.8","1.04","2.41","0.29","1.7","0.25","","2.84","","","5.9","","","4.4","0.75",
"2002"," [13387] ROCCHI S. (2002)","samp. SX12","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","MONZONITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","62.74","0.79","15.97","","","","","2.61","","4.24","3.05","0.58","0.19","","","","2.9","5.81","0.28","","","","","","","","0.83","","","","","","","","","","","","","","","","9","XRF","","","0","XRF","","","11","XRF","","","0","XRF","","","","","","","","74","XRF","","","503","XRF","","","27","XRF","","","146","XRF","","","57","XRF","","","","","","","","","893","XRF","","","54","XRF","","","103","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX2","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","62.73","0.63","16.64","","","","","1.78","","3.21","2.66","0.9","0.14","","","","5.01","4.86","0.35","","","","","","","","1.1","","","","","","","","","","","","","","","","13","XRF","","","0","XRF","","","8","XRF","","","0","XRF","","","","","","","","149","XRF","","","374","XRF","","","43","XRF","","","618","XRF","","","99","XRF","","","","","","","","","1109","XRF","","","73","XRF","","","125","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX3","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","50.27","2.26","11.24","","","","","4.03","","13.98","5.96","2.76","0.58","","","","3.07","3.05","1.35","","","","","","","","1.47","","","","","","","","","","","","","","","","60","XRF","","","11","XRF","","","35","XRF","","","10","XRF","","","","","","","","116","XRF","","","264","XRF","","","95","XRF","","","732","XRF","","","232","XRF","","","","","","","","","713","XRF","","","170","XRF","","","311","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX4A","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","63.58","0.67","16.25","","","","","1.27","","3.81","2.65","0.65","0.12","","","","4.74","5.1","0.3","","","","","","","","0.86","","","","","","","","","","","","","","","","15","XRF","","","0","XRF","","","9","XRF","","","0","XRF","","","","","","","","212","XRF","","","431","XRF","","","52","XRF","","","798","XRF","","","120","XRF","","","","","","","","","824","XRF","","","73","XRF","","","128","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. SX4B","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","59.12","1.33","15.18","","","","","1.54","","6.18","3.98","1.97","0.15","","","","3.63","4.94","0.96","","","","","","","","1.03","","","","","","","","","","","","","","","","69","XRF","","","6","XRF","","","18","XRF","","","5","XRF","","","","","","","","179","XRF","","","323","XRF","","","52","XRF","","","675","XRF","","","104","XRF","","","","","","","","","722","XRF","","","115","XRF","","","196","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [13387] ROCCHI S. (2002)","samp. AX2","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / VICTORIA LAND / MCGEE IGNEOUS COMPLEX","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","SYENITE, QUARTZ","","","","","CENOZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","-73","165","-75","170","64.58","0.44","16.94","","","","","1","","2.91","1.88","0.45","0.11","","","","5.22","5.76","0.16","","","","","","","","0.55","","","","","","","","","","","","","","","","6","XRF","","","0","XRF","","","6","XRF","","","0","XRF","","","","","","","","174","XRF","","","347","XRF","","","49","XRF","","","979","XRF","","","117","XRF","","","","","","","","","851","XRF","","","72","XRF","","","123","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1999"," [13443] STOREY B. C. (1999)","samp. MB.202.1S","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","MAFIC DIKE","","","CRETACEOUS","MIDDLE","","","","","","WHOLE ROCK","","","","","","","","","","-74","-130","-77","-140","48.26","1.72","15.61","","","","12.01","","","","8.21","8.08","0.16","","","","1.14","3.24","0.53","","1.52","","","","","","","","","","","","","","","","","","","","","","235","XRF","","","284","XRF","","","","","","","196","XRF","","","68","107","21","","","45","XRF","","","651","XRF","","","21","XRF","","","173","XRF","","","13","XRF","","","","","","","","","381","XRF","","","20.8","INAA","","","45.8","INAA","","","","26.5","INAA","26.973","TIMS_ID","5.52","INAA","5.698","TIMS_ID","1.85","","0.72","","","","","1.8","0.27","4.46","0.73","","","12","","","2.1","0.76",
"1999"," [13443] STOREY B. C. (1999)","samp. MB.153.1S","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","MAFIC DIKE","","","CRETACEOUS","MIDDLE","","","","","","WHOLE ROCK","","","","","","","","","","-74","-130","-77","-140","48.63","1.44","16.58","","","","11.27","","","","8.75","8.1","0.17","","","","1.13","3.08","0.3","","0.6","","","","","","","","","","","","","","","","","","","","","","208","XRF","","","224","XRF","","","","","","","140","XRF","","","49","86","19","","","29","XRF","","","559","XRF","","","24","XRF","","","127","XRF","","","7","XRF","","","","","","","","","323","XRF","","","15.2","INAA","","","32.7","INAA","","","","21","INAA","21.044","TIMS_ID","4.57","INAA","4.829","TIMS_ID","1.57","","0.7","","","","","2","0.31","3.16","0.33","","","12","","","1.85","0.69",
"1999"," [13443] STOREY B. C. (1999)","samp. MB.205.4S","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","MAFIC DIKE","","","CRETACEOUS","MIDDLE","","","","","","WHOLE ROCK","","","","","","","","","","-74","-130","-77","-140","50.98","1.16","16.82","","","","9.01","","","","7.76","7.15","0.13","","","","2.09","3.66","0.39","","0.64","","","","","","","","","","","","","","","","","","","","","","219","XRF","","","295","XRF","","","","","","","135","XRF","","","42","93","21","","","82","XRF","","","824","XRF","","","16","XRF","","","118","XRF","","","6","XRF","","","","","","","","","499","XRF","","","22.3","INAA","","","48.6","INAA","","","","29.3","INAA","27.14","TIMS_ID","5.84","INAA","5.708","TIMS_ID","1.94","","0.69","","","","","1.33","0.2","4.04","0.3","","","18","","","2.56","0.82",
"1999"," [13443] STOREY B. C. (1999)","samp. MB.301.5S","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","MAFIC DIKE","","","CRETACEOUS","MIDDLE","","","","","","WHOLE ROCK","","","","","","","","","","-74","-130","-77","-140","51.91","1.52","16.62","","","","8.77","","","","7.41","3.86","0.13","","","","2.49","3.15","0.61","","3.69","","","","","","","","","","","","","","","","","","","","","","239","XRF","","","13","XRF","","","","","","","13","XRF","","","64","63","14","","","102","XRF","","","1169","XRF","","","21","XRF","","","162","XRF","","","6","XRF","","","","","","","","","694","XRF","","","21.9","INAA","","","47.7","INAA","","","","29.5","INAA","30.149","TIMS_ID","6.15","INAA","6.575","TIMS_ID","2.14","","0.74","","","","","1.62","0.25","4.26","0.35","","","8","","","2.8","1.11",
"1999"," [13443] STOREY B. C. (1999)","samp. MB.205.1S","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","NOT GIVEN","","MAFIC DIKE","","","CRETACEOUS","MIDDLE","","","","","","WHOLE ROCK","","","","","","","","","","-74","-130","-77","-140","52.63","1.4","16.1","","","","9.53","","","","7.55","6.44","0.14","","","","1.85","3.5","0.48","","0.7","","","","","","","","","","","","","","","","","","","","","","223","XRF","","","203","XRF","","","","","","","78","XRF","","","78","85","20","","","84","XRF","","","774","XRF","","","25","XRF","","","156","XRF","","","9","XRF","","","","","","","","","675","XRF","","","28.2","INAA","","","61.1","INAA","","","","35.9","INAA","33.908","TIMS_ID","7.13","INAA","7.088","TIMS_ID","2.33","","0.88","","","","","2.26","0.36","4.29","0.57","","","13","","","7.59","1.41",
