"Year","CITATION","SAMPLE NAME","UNIQUE_ID","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","FE(WT%)","MG(WT%)","K(WT%)","NA(WT%)","LI(PPM)","F(PPM)","S(PPM)","CL(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM): altern. values or methods","","","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","PD(PPB)","AG(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PT(PPB)","AU(PPM)","AU(PPB)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40914","","51.5","0.72","19.32","","","","4.74","","4.42","9.99","4.73","0.21","","","","0.63","2.3","0.21","","1.02","0.12","0","","","","0.38","","","","","","","","","","26","","212","8","1600","16","8","NOT","","","","","91","77","18.4","","","12","333","24","50","0.5","","","","","","","","60","2","12","","9","","","","","","","","","","","","","","","","","","5","","0.6","0.6",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40916","","54.97","0.91","17.23","","","","2.65","","5.9","8.53","3.68","0.19","","","","0.64","2.72","0.12","","1.25","0.17","0.53","","","","0.03","","","","","","","","","","39","","233","5","1450","3","3","NOT","","","","","81","85","16.6","","","7.5","338","20","47","0.5","","","","","","","","245","3","9","","8","","","","","","","","","","","","","","","","","","5","","0.6","0.2",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40918","","57.02","0.81","17.33","","","","4.24","","3.87","7.87","3.4","0.16","","","","0.66","2.84","0.11","","1.26","0.18","0","","","","0.1","","","","","","","","","","27","","198","3","1220","9","4","NOT","","","","","56","57","16.2","","","8.5","325","21","59","1.5","","","","","","","0.11","280","3.7","10.2","","8.5","2.8","0.92","2.9","","","0.8","","","2.2","0.36","1.1","0.4","","","","","","7","","0","0.4",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40920","","61.04","0.68","16.03","","","","2.83","","3.61","6.4","2.69","0.14","","","","1.42","3.17","0.12","","0.86","0.09","0.48","","","","0.07","","","","","","","","","","19","","140","8","1090","25","6","NOT","","","","","21","54","14.6","","","19.5","296","23","98","1.5","","","","","","","0.43","310","7.1","18.5","","12.5","3.6","0.97","3.7","","","1.1","","","2.6","0.43","2.7","0.7","","","","","","4","","1.2","0.6",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40922","","64.52","0.66","15.35","","","","2.24","","3.51","5.43","2.09","0.13","","","","1.46","3.51","0.11","","0.54","0.1","0.27","","","","0","","","","","","","","","","21","","114","2","990","69","4","NOT","","","","","38","57","14.6","","","20","252","29","118","1.5","","","","","","","0.9","255","6.5","17.2","","12.8","4","1.03","4.6","","","1.2","","","3.2","0.52","3.1","0.6","","","","","","5","","0.6","0.4",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40924","","64.35","0.65","15.16","","","","2.14","","3.62","5.3","2.17","0.13","","","","1.09","3.74","0.11","","1.12","0.14","0","","","","0","","","","","","","","","","24","","118","3","1030","16","3","NOT","","","","","96","49","15","","","13.5","175","20","86","1","","","","","","","","300","6","19","","12","","","","","","","","","","","","","","","","","","6","","1.2","0.6",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40926","","49.69","0.73","17.05","","","","3.72","","5.34","10.92","7.57","0.25","","","","0.47","2.44","0.08","","1.4","0.08","0","","","","0.07","","","","","","","","","","43","","256","286","1910","25","61","NOT","","","","","61","84","15.2","","","9.5","256","18","41","0","","","","","","","","90","2","8","","7","","","","","","","","","","","","","","","","","","5","","0.4","0.2",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40929","","55.36","0.8","16.65","","","","3.46","","5.81","8.12","3.96","0.25","","","","0.78","3.81","0.1","","0.53","0.12","0.01","","","","0","","","","","","","","","","40","","244","5","1900","18","4","NOT","","","","","66","134","16.4","","","7","277","31","45","1.5","","","","","","","","185","5","15","","11","","","","","","","","","","","","","","","","","","7","","0.4","0.2",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40930","","68.82","0.49","14.42","","","","1.83","","2.21","3.73","1.2","0.11","","","","1.24","4.33","0.09","","0.89","0.08","0.09","","","","0","","","","","","","","","","14","","49","2","820","6","1","NOT","","","","","11","55","14.2","","","14.5","196","34","137","1.5","","","","","","","0.09","145","7.2","18.2","","14","4.4","1.13","4.8","","","1.3","","","4","0.66","3.8","1","","","","","","5","","0.7","0.2",
"1985"," [4774] WHALEN J. B. (1985)","samp. 40932","","69.56","0.44","14.98","","","","1.52","","1.75","3.99","0.7","0.07","","","","2.04","3.61","0.07","","0.78","0.07","0","","","","0","","","","","","","","","","12","","41","1","530","9","1","NOT","","","","","66","30","13","","","22.5","280","13","141","0.5","","","","","","","","580","5","12","","6","","","","","","","","","","","","","","","","","","4","","1.2","0.4",
