"Year","CITATION","SAMPLE NAME","UNIQUE_ID","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","FE(WT%)","MG(WT%)","K(WT%)","NA(WT%)","LI(PPM)","F(PPM)","S(PPM)","CL(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM): altern. values or methods","","","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","PD(PPB)","AG(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PT(PPB)","AU(PPM)","AU(PPB)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40959","","61.71","0.56","17.51","","","","2.14","","2.88","4.51","2.73","0.15","","","","2.04","5.25","0.26","","1.68","0.19","1.77","","","","0","","","","","","","","","","13","","121","53","1131","8","18.7","XRF","","","","","6.2","65","19.9","","","38.4","906","16","124","9.9","","","","","","","","602","20","48","","20","","","","","","","","","","","","","","","","","","7.3","","5.4","1.5",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40960","","61.1","0.64","17.45","","","","0.99","","2.65","5.65","2.34","0.1","","","","2.76","5.84","0.24","","1.18","0.15","1.73","","","","0","","","","","","","","","","11","","149","18","817","8","9.3","XRF","","","","","7.2","57","20.1","","","32.6","668","17","158","9.8","","","","","","","","626","20","47","","19","","","","","","","","","","","","","","","","","","10.3","","7.7","2.3",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40961","","58.56","0.66","17.74","","","","3.43","","2.52","6.51","3.08","0.11","","","","1.72","5.1","0.31","","0.71","0.09","0.7","","","","1.24","","","","","","","","","","17","","161","24","910","10","7.2","XRF","","","","","41.9","42","19.8","","","26.1","1087","16","139","10.7","","","","","","","","537","21","49","","21","","","","","","","","","","","","","","","","","","6.1","","7.2","1.5",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40962","","61.19","0.57","17.52","","","","2.93","","2.31","5.62","2.51","0.13","","","","1.81","4.9","0.27","","1.14","0.23","0.72","","","","0","","","","","","","","","","11","","113","33","1065","11","11.3","XRF","","","","","6.1","68","19.9","","","35.8","900","15","134","8.7","","","","","","","","466","20","47","","20","","","","","","","","","","","","","","","","","","7.2","","5.5","1.2",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40968","","57.64","0.73","17.46","","","","4.32","","1.84","6.76","4.05","0.28","","","","1.6","4.76","0.31","","2.15","0.95","1.94","","","","2","","","","","","","","","","18","","217","28","2171","8","12.8","XRF","","","","","108","97","22.6","","","20.8","901","17","148","11.2","","","","","","","","399","18","48","","21","","","","","","","","","","","","","","","","","","6.4","","5.3","1.3",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40969","","55.45","0.99","17.34","","","","4.55","","2.94","7.17","3.81","0.14","","","","2.09","4.88","0.34","","1.25","0.45","0.74","","","","0.02","","","","","","","","","","23","","233","13","1131","9","10.3","XRF","","","","","114","84","21.6","","","29.8","1058","18","124","9.8","","","","","","","","437","20","51","","26","","","","","","","","","","","","","","","","","","7.2","","5.3","1.2",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40970","","56.29","0.81","19.15","","","","3.76","","3.14","8.49","2.36","0.18","","","","1.37","3.9","0.35","","0.73","0.06","0","","","","0.02","","","","","","","","","","11","","168","3","1434","22","0","XRF","","","","","18.2","77","20.8","","","24.7","715","21","112","5","","","","","","","","328","13","32","","17","","","","","","","","","","","","","","","","","","3","","3.2","1",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40971","","58.81","0.71","18.11","","","","3.92","","1.83","5.96","2.46","0.15","","","","2.57","4.88","0.33","","2.27","0.55","0.87","","","","0","","","","","","","","","","14","","168","13","1144","10","8.3","XRF","","","","","13.5","65","21.8","","","48.9","997","18","154","15.6","","","","","","","","655","27","62","","26","","","","","","","","","","","","","","","","","","12.5","","9.8","2.9",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40972","","62.21","0.64","17.02","","","","2.75","","2.51","4.72","3.19","0.15","","","","2.71","3.67","0.25","","2.65","1.18","1.36","","","","0","","","","","","","","","","12","","136","20","1129","10","8.4","XRF","","","","","11.6","59","19","","","59","415","17","135","9","","","","","","","","412","17","42","","20","","","","","","","","","","","","","","","","","","6.3","","7.2","1.9",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40973","","62.96","0.54","16.81","","","","1.91","","2.32","3.01","2.43","0.11","","","","2.54","6.99","0.18","","0.64","0.14","0.65","","","","0.33","","","","","","","","","","11","","120","53","843","8","19.3","XRF","","","","","8.1","37","18.9","","","49.8","627","12","127","9.1","","","","","","","","498","15","36","","14","","","","","","","","","","","","","","","","","","4.1","","7.3","1.8",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40963","","62.92","0.53","17.02","","","","2.58","","2.75","4.12","2.93","0.05","","","","1.78","4.9","0.18","","1.66","0.09","0.09","","","","0.56","","","","","","","","","","15","","132","36","420","6","19.5","XRF","","","","","190","43","20.9","","","29.2","781","12","117","6.7","","","","","","","","323","14","31","","12","","","","","","","","","","","","","","","","","","5.1","","5.7","1.4",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40964","","63.97","0.49","16.87","","","","2.92","","3.06","3","2.29","0.07","","","","2.49","4.42","0.18","","1.47","0.09","0.07","","","","0.02","","","","","","","","","","12","","125","25","551","13","11.2","XRF","","","","","233","55","20","","","41.3","696","11","98","7.1","","","","","","","","480","15","33","","12","","","","","","","","","","","","","","","","","","6.1","","7.6","1.2",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40949","","59.62","0.78","17.7","","","","3.14","","2.7","6.91","2.11","0.15","","","","2.05","4.43","0.22","","0.67","0.13","0.2","","","","0","","","","","","","","","","11","","168","4","1175","10","5.1","XRF","","","","","14.2","65","20.3","","","38.5","595","26","133","11.1","","","","","","","","375","16","42","","20","","","","","","","","","","","","","","","","","","7.1","","5.5","1.4",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40950","","60.3","0.69","17.83","","","","2.93","","2.54","6.54","1.95","0.37","","","","2.12","4.26","0.21","","0.78","0.1","0","","","","0","","","","","","","","","","11","","205","501","2919","8","5","XRF","","","","","34.2","51","20.1","","","60","587","19","140","8.6","","","","","","","","86","12","36","","21","","","","","","","","","","","","","","","","","","5","","7.9","1.8",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40976","","61.8","0.61","17.79","","","","3.02","","2.19","4.57","2.05","0.16","","","","2.07","5.25","0.25","","0.93","0.22","0.58","","","","0","","","","","","","","","","9","","94","7","1264","13","4.1","XRF","","","","","17.3","69","20","","","45.9","913","18","135","12.7","","","","","","","","561","22","50","","20","","","","","","","","","","","","","","","","","","12.2","","6.9","2",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40977","","61.44","0.64","17.8","","","","2.94","","2.18","4.94","1.94","0.14","","","","1.91","5.56","0.26","","0.72","0.14","0.36","","","","0","","","","","","","","","","9","","101","6","1076","56","4.1","XRF","","","","","19.3","72","20.7","","","41.6","844","18","142","14.2","","","","","","","","538","22","53","","20","","","","","","","","","","","","","","","","","","12.2","","6.3","1.8",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40978","","62.48","0.55","17.6","","","","2.23","","1.76","4.6","1.31","0.14","","","","3.39","5.27","0.2","","1.05","0.2","2.47","","","","0.09","","","","","","","","","","8","","111","11","1017","14","4.2","XRF","","","","","27","48","22.2","","","77","2405","16","220","27.5","","","","","","","","768","34","66","","23","","","","","","","","","","","","","","","","","","11.4","","17.2","4.8",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40973","","45.25","1.47","8.5","","","","5.13","","8.49","11.3","13.53","0.46","","","","0.57","1.61","0.06","","","","","","","","","","","","","","","","","","70","","393","69","","58","74","XRF","","","","","19.5","162","","","","2","93","54","","","","","","","","","","43","","65","","","","","","","","","","","","","","","","","","","","5","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40963","","46.86","1.12","7.38","","","","3.48","","9.05","10.91","14.72","0.44","","","","0.39","1.36","0.03","","","","","","","","","","","","","","","","","","116","","427","99","","47","69","XRF","","","","","24","134","","","","1.5","66","49","","","","","","","","","","20","","46","","","","","","","","","","","","","","","","","","","","4","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40950","","46.12","1.37","7.01","","","","4.12","","10.02","11.75","12.75","0.68","","","","0.59","1.1","0.15","","","","","","","","","","","","","","","","","","74","","297","14","","59","32","XRF","","","","","13","255","","","","4","55","42","","","","","","","","","","32","","37","","","","","","","","","","","","","","","","","","","","5","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40977","","42.12","1.48","11.47","","","","6.43","","9.77","11.14","11.11","0.52","","","","0.75","1.55","0.14","","","","","","","","","","","","","","","","","","53","","347","27","","49","23","XRF","","","","","9.5","262","","","","3","135","65","","","","","","","","","","78","","65","","","","","","","","","","","","","","","","","","","","7.5","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8027","","37.35","3.26","13.97","","","","1.25","","12.11","0.12","16.64","0.1","","","","9.01","0.28","0","","","","","","","","","","","","","","","","","","68","","537","100","","65","122","XRF","","","","","51","96","","","","200","5","2","","","","","","","","","","1909","","2","","","","","","","","","","","","","","","","","","","","5","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40978","","36.05","4","14.03","","","","1.89","","14.05","0.07","14.48","0.41","","","","8.86","0.56","0.01","","","","","","","","","","","","","","","","","","9","","438","12","","79","46","XRF","","","","","37","397","","","","288","53","1","","","","","","","","","","4135","","4","","","","","","","","","","","","","","","","","","","","7","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 8022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.592","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1982"," [9255] WHALEN J. B. (1982)","samp. 40950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","61.7","","24.8","","","","","","","6.23","","","","","","0.38","7.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","57.4","","26.2","","","","","","","9.65","","","","","","0.28","5.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","57.5","","26.4","","","","","","","8.21","","","","","","0.3","6.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1005","","59.4","","25.3","","","","","","","7.62","","","","","","0.33","6.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1008","","56.9","","26.9","","","","","","","9.15","","","","","","0.32","6.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","65.8","","18.7","","","","","","","0","","","","","","14.4","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","65.7","","18.6","","","","","","","0","","","","","","15.7","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","64.6","","18.8","","","","","","","0.06","","","","","","14","1.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1005","","65.5","","18.3","","","","","","","0","","","","","","12.9","1.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1008","","65.2","","18.3","","","","","","","0","","","","","","14.2","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","54.2","0","0.34","","","","","5.47","","23.9","15.3","0.66","","","","0","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1003","145978","52.8","0.24","1.67","","","","","7.07","","22.3","15.5","0.38","","","","0","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","53.3","0","0.31","","","","","6.39","","24.1","14.4","0.61","","","","0","0.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1006","","54.2","0","0.48","","","","","6.49","","23.5","14.7","0.79","","","","0","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1006","","53.8","0.15","0.62","","","","","6.88","","22.6","15.2","0.95","","","","0","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","50.7","0.98","4.86","","","","","8.7","","11.5","17.8","0.57","","","","0.47","1.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","54.3","0.13","2.17","","","","","10.9","","12.3","16.8","0.24","","","","0.16","0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","52.6","0.25","2.92","","","","","10.1","","12.4","17.3","0.48","","","","0.28","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","51.3","0.16","3.44","","","","","12","","12.3","16.1","0.52","","","","0.32","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1008","","49.7","1.05","5.08","","","","","11.6","","11.7","16","0.51","","","","0.46","1.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1008","","54.3","0.09","2","","","","","11.1","","12.2","17.2","0.43","","","","0.17","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1008","","43.9","1.69","9.35","","","","","16.3","","11.4","11.7","0.49","","","","1.38","1.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1002","160092","37.9","5.04","13.4","","","","","12.7","","0","16.9","0.29","","","","9.56","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1003","145978","38.1","5.39","13.5","","","","","12.3","","0","17.2","0.33","","","","9.39","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1003","145978","37.9","5.4","13.7","","","","","11.9","","0","17.3","0.26","","","","9.42","0.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","0","0.25","0.12","0","","","","92.5","","","0.03","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1004","145979","0","0.12","0.14","0","","","","90","","","0.06","0.2","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1006","","0.05","0.19","0.09","0","","","","91.4","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","0","43.3","0","0","","","","48.2","","","0.2","5.66","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1994"," [9276] MCMAHON T. P. (1994)","samp. 1001","145977","0","45.1","0.07","0","","","","43.4","","","0.19","7.14","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1996"," [9348] MCDOWELL F. W. (1996)","samp. 1001","145977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1991"," [9359] RICHARDS J. P. (1991)","samp. RJR-27","167492","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","725","","","","","","","","","","","","","","","30","5.6","","","","","","","","","","","","","","","","","","","","",
"1991"," [9359] RICHARDS J. P. (1991)","samp. RJR-44","167494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","592","","","","","","","","","","","","","","","24.9","","","","","","","","","","","","","","","","","","","","","",
"1991"," [9359] RICHARDS J. P. (1991)","samp. RJR-44","167494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1905","","","","","","","","","","","","","","","540.5","","","","","","","","","","","","","","","","","","","","","",
"1991"," [9359] RICHARDS J. P. (1991)","samp. RJR-44","167494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","7","1.5",
"1991"," [9359] RICHARDS J. P. (1991)","samp. PS94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.27","1.26","","","","","","","","222","534","","","210","ICPMS","","","","","85","","","","","","","","","","","1.34","","","","","","","","","","","","","","","","","","","","","","","","1.9","","32.73","","","","","",
"1991"," [9359] RICHARDS J. P. (1991)","samp. PS128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.61","1.04","","","","","","","","258","183","","","59","ICPMS","","","","","112","","","","","","","","","","","1.51","","","","","","","","","","","","","","","","","","","","","","","","1.56","","13.98","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 72-202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1975"," [9786] PAGE R. W. (1975)","samp. 70-5996","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
